BJD_Code,year,day,type,acid,phosphate,silicate,OM,Mg,K,Ca,EC,jibun
5013032024,2020,20200618,2,5.5,10,NA,195,0.2,0.11,0.2,0.2,제주특별자치도 서귀포시 표선면 가시리 3665-52
5013032024,2020,20200618,2,6,10,NA,200,0.3,0.12,0.4,0.38,제주특별자치도 서귀포시 표선면 가시리 3665-53
5013032024,2020,20200618,2,5.9,10,NA,155,1.5,0.41,3.3,0.21,제주특별자치도 서귀포시 표선면 가시리 3665-54
5013032024,2020,20200618,2,5.7,10,NA,183,1.2,0.29,2.6,0.24,제주특별자치도 서귀포시 표선면 가시리 3665-55
5013032024,2020,20200618,2,5.8,10,NA,214,0.4,0.15,0.5,0.35,제주특별자치도 서귀포시 표선면 가시리 3665-56
5013032024,2020,20200618,2,5.8,10,NA,230,1.1,0.2,1.9,0.47,제주특별자치도 서귀포시 표선면 가시리 3665-57
5013032024,2020,20200618,2,5.9,10,NA,186,1.4,0.33,2.4,0.56,제주특별자치도 서귀포시 표선면 가시리 3665-64
5013032024,2020,20200618,2,6.3,10,NA,216,0.2,0.06,0.3,0.14,제주특별자치도 서귀포시 표선면 가시리 3665-65
5013032024,2020,20200618,2,6.2,10,NA,214,0.2,0.05,0.2,0.16,제주특별자치도 서귀포시 표선면 가시리 3665-66
5013032024,2020,20200618,2,6.3,10,NA,211,0.2,0.06,0.2,0.15,제주특별자치도 서귀포시 표선면 가시리 3665-67
5013032024,2020,20200618,2,6.2,10,NA,212,0.2,0.06,0.2,0.15,제주특별자치도 서귀포시 표선면 가시리 3665-68
5013032024,2020,20200618,2,5.8,10,NA,182,1.3,0.33,2.3,0.37,제주특별자치도 서귀포시 표선면 가시리 3665-69
5013032024,2020,20200618,2,6.1,10,NA,151,1.8,0.42,3.6,0.44,제주특별자치도 서귀포시 표선면 가시리 3665-70
5013032024,2020,20200618,2,5.9,10,NA,227,0.6,0.19,0.4,0.27,제주특별자치도 서귀포시 표선면 가시리 3665-73
5013032024,2020,20200618,2,5.6,10,NA,225,0.5,0.24,0.2,0.32,제주특별자치도 서귀포시 표선면 가시리 3665-74
5013032024,2020,20200618,2,5.6,10,NA,225,0.5,0.24,0.2,0.32,제주특별자치도 서귀포시 표선면 가시리 3665-75
5013032024,2020,20200618,2,6,10,NA,153,1.9,0.36,3.8,0.4,제주특별자치도 서귀포시 표선면 가시리 3665-78
5013032024,2020,20200618,2,6.1,10,NA,175,1.2,0.22,2.5,0.28,제주특별자치도 서귀포시 표선면 가시리 3665-79
5013032024,2020,20200618,2,6,10,NA,198,0.4,0.13,0.4,0.32,제주특별자치도 서귀포시 표선면 가시리 3665-80
5013032024,2020,20200618,2,6,10,NA,211,0.5,0.12,0.8,0.32,제주특별자치도 서귀포시 표선면 가시리 3665-81
5013032024,2020,20200618,2,6.3,10,NA,145,2.1,0.54,5.3,0.4,제주특별자치도 서귀포시 표선면 가시리 108-1
5013032024,2020,20200618,2,6.2,10,NA,158,1.6,0.32,3.8,0.33,제주특별자치도 서귀포시 표선면 가시리 108-10
5013032024,2020,20200618,2,6.1,10,NA,165,1.1,0.27,3.2,0.33,제주특별자치도 서귀포시 표선면 가시리 108-11
5013032024,2020,20200618,2,6.4,10,NA,178,0.2,0.06,0.5,0.14,제주특별자치도 서귀포시 표선면 가시리 108-12
5013032024,2020,20200618,2,6.2,10,NA,186,0.2,0.07,0.4,0.16,제주특별자치도 서귀포시 표선면 가시리 108-4
5013032024,2020,20200618,2,6.2,10,NA,175,0.1,0.06,0.3,0.13,제주특별자치도 서귀포시 표선면 가시리 108-8
5013032024,2020,20200618,2,6.1,10,NA,163,1.4,0.27,2.8,0.36,제주특별자치도 서귀포시 표선면 가시리 108-9
5013032024,2020,20200618,2,6.4,10,NA,189,0.2,0.06,0.4,0.13,제주특별자치도 서귀포시 표선면 가시리 113
5013032024,2020,20200618,2,6.5,10,NA,147,2.6,0.56,5.7,0.47,제주특별자치도 서귀포시 표선면 가시리 114
5013032024,2020,20200618,2,6.7,10,NA,200,0.2,0.08,0.6,0.17,제주특별자치도 서귀포시 표선면 가시리 115-1
5013032024,2020,20200618,2,6,10,NA,192,1.2,0.21,2.7,0.4,제주특별자치도 서귀포시 표선면 가시리 117-2
5013032024,2020,20200618,2,6.1,10,NA,157,1.1,0.25,2.7,0.31,제주특별자치도 서귀포시 표선면 가시리 77-3
5013032024,2020,20200618,2,6.4,10,NA,189,0.2,0.06,0.5,0.13,제주특별자치도 서귀포시 표선면 가시리 86
5013032024,2020,20200618,2,6,10,NA,165,1.5,0.36,3,0.44,제주특별자치도 서귀포시 표선면 가시리 87-11
