"BJD_Code","sido","sigungu","addr_1","addr_2","dong","li"
5013025925,"제주특별자치도","서귀포시_성산읍","서귀포_성산","제주특별자치도_서귀포시_성산읍_수산리","성산읍","수산리"
5013025926,"제주특별자치도","서귀포시_성산읍","서귀포_성산","제주특별자치도_서귀포시_성산읍_온평리","성산읍","온평리"
5013025927,"제주특별자치도","서귀포시_성산읍","서귀포_성산","제주특별자치도_서귀포시_성산읍_신산리","성산읍","신산리"
5013025928,"제주특별자치도","서귀포시_성산읍","서귀포_성산","제주특별자치도_서귀포시_성산읍_삼달리","성산읍","삼달리"
5013025929,"제주특별자치도","서귀포시_성산읍","서귀포_성산","제주특별자치도_서귀포시_성산읍_신풍리","성산읍","신풍리"
5013025930,"제주특별자치도","서귀포시_성산읍","서귀포_성산","제주특별자치도_서귀포시_성산읍_신천리","성산읍","신천리"
5013025931,"제주특별자치도","서귀포시_성산읍","서귀포_성산","제주특별자치도_서귀포시_성산읍_난산리","성산읍","난산리"
5013031001,"제주특별자치도","서귀포시_안덕면","서귀포_안덕","제주특별자치도_서귀포시_안덕면_대평리","안덕면","대평리"
5013031021,"제주특별자치도","서귀포시_안덕면","서귀포_안덕","제주특별자치도_서귀포시_안덕면_화순리","안덕면","화순리"
5013031022,"제주특별자치도","서귀포시_안덕면","서귀포_안덕","제주특별자치도_서귀포시_안덕면_창천리","안덕면","창천리"
5013031023,"제주특별자치도","서귀포시_안덕면","서귀포_안덕","제주특별자치도_서귀포시_안덕면_감산리","안덕면","감산리"
5013031024,"제주특별자치도","서귀포시_안덕면","서귀포_안덕","제주특별자치도_서귀포시_안덕면_상창리","안덕면","상창리"
5013031025,"제주특별자치도","서귀포시_안덕면","서귀포_안덕","제주특별자치도_서귀포시_안덕면_사계리","안덕면","사계리"
5013031026,"제주특별자치도","서귀포시_안덕면","서귀포_안덕","제주특별자치도_서귀포시_안덕면_덕수리","안덕면","덕수리"
5013031027,"제주특별자치도","서귀포시_안덕면","서귀포_안덕","제주특별자치도_서귀포시_안덕면_서광리","안덕면","서광리"
5013031028,"제주특별자치도","서귀포시_안덕면","서귀포_안덕","제주특별자치도_서귀포시_안덕면_동광리","안덕면","동광리"
5013031029,"제주특별자치도","서귀포시_안덕면","서귀포_안덕","제주특별자치도_서귀포시_안덕면_광평리","안덕면","광평리"
5013031030,"제주특별자치도","서귀포시_안덕면","서귀포_안덕","제주특별자치도_서귀포시_안덕면_상천리","안덕면","상천리"
5013032021,"제주특별자치도","서귀포시_표선면","서귀포_표선","제주특별자치도_서귀포시_표선면_표선리","표선면","표선리"
5013032022,"제주특별자치도","서귀포시_표선면","서귀포_표선","제주특별자치도_서귀포시_표선면_하천리","표선면","하천리"
5013032023,"제주특별자치도","서귀포시_표선면","서귀포_표선","제주특별자치도_서귀포시_표선면_성읍리","표선면","성읍리"
5013032024,"제주특별자치도","서귀포시_표선면","서귀포_표선","제주특별자치도_서귀포시_표선면_가시리","표선면","가시리"
5013032025,"제주특별자치도","서귀포시_표선면","서귀포_표선","제주특별자치도_서귀포시_표선면_세화리","표선면","세화리"
5013032026,"제주특별자치도","서귀포시_표선면","서귀포_표선","제주특별자치도_서귀포시_표선면_토산리","표선면","토산리"
