,code,year,month,day,type,acid,phosphate,OM,Mg,K,Ca,EC,ymd,cnt,longitude,latitude
100,5011025021,2020,9,23,2,5.2,697,26.9,1.51,0.921,3.72,0.49,9/23/2020,1,126.2981664,33.43377047
101,5011025021,2020,9,23,2,6,1077.8,26,2.06,1.057,5.04,0.43,9/23/2020,1,126.295974,33.44567558
102,5011025021,2020,9,23,2,7.1,394.2,16.6,5.37,0.924,8.69,0.5,9/23/2020,1,126.2849606,33.43930696
103,5011025021,2020,9,23,2,6.2,650.2,26.8,2.84,2.011,8.92,0.5,9/23/2020,1,126.2898833,33.43698265
104,5011025021,2020,9,23,2,4.9,1298.9,29.5,1.07,0.933,1.93,0.57,9/23/2020,1,126.2926609,33.43511195
105,5011025021,2020,9,23,2,6.4,892.5,30.6,2.57,1.357,7.06,0.47,9/23/2020,1,126.2890738,33.42529561
106,5011025021,2020,9,23,2,6,622.9,45.5,1.67,0.963,6.62,0.56,9/23/2020,1,126.2890124,33.4217393
107,5011025021,2021,2,26,2,5.7,1261,30,0.6,0.44,4.2,0.8,2/26/2021,1,126.2981278,33.44217467
108,5011025021,2021,2,26,2,5.7,1261,30,0.6,0.44,4.2,0.8,2/26/2021,1,126.2981278,33.44217467
109,5011025021,2021,2,26,2,6.1,1227,34,0.7,0.54,5.8,4.4,2/26/2021,1,126.2973507,33.44286818
110,5011025021,2021,2,26,2,6.1,1227,34,0.7,0.54,5.8,4.4,2/26/2021,1,126.2973507,33.44286818
111,5011025021,2021,2,26,2,6.7,1138,32,0.7,0.4,4.7,1.2,2/26/2021,1,126.2972119,33.44312841
112,5011025021,2021,2,26,2,6.7,1138,32,0.7,0.4,4.7,1.2,2/26/2021,1,126.2972119,33.44312841
113,5011025021,2021,2,26,2,6.5,1082,33,0.7,0.47,6.5,1,2/26/2021,1,126.2975827,33.44244485
114,5011025021,2021,2,26,2,6.5,1082,33,0.7,0.47,6.5,1,2/26/2021,1,126.2975827,33.44244485
115,5011025021,2021,6,18,2,6.4,1025,30,2.7,1.87,8.8,1.6,6/18/2021,1,126.2964309,33.44285738
116,5011025021,2021,7,12,2,6,694,38,1.2,1.53,3.9,0.6,7/12/2021,1,126.2979477,33.44287355
117,5011025021,2021,7,12,2,6.6,795,37,3,1.76,7.6,0.7,7/12/2021,1,126.2977233,33.44282567
118,5011025021,2021,7,12,2,6,698,34,1.7,1.45,3.5,0.8,7/12/2021,1,126.2984258,33.44294432
119,5011025021,2021,8,27,2,6.3,595,37,3.4,1.19,8.7,1.05,8/27/2021,1,126.2905647,33.41550397
120,5011025021,2021,9,28,2,6.8,775,37,1.5,1.28,12.1,1.27,9/28/2021,1,126.3027751,33.42481359
121,5011025021,2021,10,27,2,5.6,803,30,1.2,0.66,5.9,2.07,10/27/2021,1,126.2976347,33.42425544
122,5011025021,2021,10,27,2,6.5,593,33,2.5,0.67,9,1.54,10/27/2021,1,126.2949349,33.43203949
123,5011025021,2021,10,27,2,6.4,605,37,1.7,0.56,8,4.01,10/27/2021,1,126.2999116,33.43053075
124,5011025021,2021,10,27,2,6.3,536,31,1.7,1.06,7.5,1.93,10/27/2021,1,126.2975254,33.43915806
125,5011025021,2021,10,27,2,5.7,1122,31,1.3,1.45,5.2,2.85,10/27/2021,1,126.297903,33.44160819
126,5011025021,2021,10,27,2,6.7,764,21,2.1,1.44,12.3,3.16,10/27/2021,1,126.2937756,33.43765771
127,5011025021,2021,10,28,2,6.3,374,31,1.7,0.88,8.5,1.67,10/28/2021,1,126.2962585,33.425133
